time,x_2dot,x_dot,x,z_2dot,z_dot,z,slip_ratio,F_DP,F_z,h
0.144,0.200343,0.0292681,0.00195469,-0.200177,0.0216746,0.00373243,0.707319,1.2963,11.8403,0.00901838
0.145,0.199431,0.0294675,0.00198416,-0.199587,0.021475,0.0037539,0.705325,1.29034,11.8363,0.00903985
0.146,0.198514,0.029666,0.00201382,-0.198967,0.0212761,0.00377518,0.70334,1.28435,11.8321,0.00906113
0.147,0.197592,0.0298636,0.00204369,-0.198318,0.0210777,0.00379626,0.701364,1.27832,11.8277,0.00908221
0.148,0.196665,0.0300603,0.00207375,-0.197639,0.0208801,0.00381714,0.699397,1.27227,11.8231,0.00910309
0.149,0.195734,0.030256,0.002104,-0.196934,0.0206832,0.00383782,0.69744,1.2662,11.8183,0.00912377
0.15,0.1948,0.0304508,0.00213445,-0.196201,0.020487,0.00385831,0.695492,1.2601,11.8134,0.00914426
0.151,0.193861,0.0306447,0.0021651,-0.195443,0.0202915,0.0038786,0.693553,1.25398,11.8083,0.00916455
0.152,0.19292,0.0308376,0.00219594,-0.194659,0.0200969,0.0038987,0.691624,1.24784,11.803,0.00918465
0.153,0.191975,0.0310296,0.00222697,-0.193852,0.019903,0.0039186,0.689704,1.24168,11.7976,0.00920455
0.154,0.191028,0.0312206,0.00225819,-0.19302,0.01971,0.00393831,0.687794,1.23588,11.7913,0.00922426
0.155,0.190135,0.0314108,0.0022896,-0.192043,0.0195179,0.00395783,0.685892,1.22969,11.7856,0.00924378
0.156,0.189183,0.0315999,0.0023212,-0.191172,0.0193268,0.00397715,0.684001,1.22349,11.7798,0.0092631
0.157,0.188229,0.0317882,0.00235299,-0.190281,0.0191365,0.00399629,0.682118,1.21763,11.7731,0.00928224
0.158,0.187328,0.0319755,0.00238496,-0.189248,0.0189472,0.00401524,0.680245,1.21141,11.7671,0.00930119
0.159,0.186371,0.0321619,0.00241712,-0.188322,0.0187589,0.004034,0.678381,1.20553,11.7602,0.00931995
0.16,0.185466,0.0323473,0.00244947,-0.187258,0.0185717,0.00405257,0.676527,1.19929,11.7539,0.00933852
0.161,0.184506,0.0325318,0.002482,-0.186299,0.0183854,0.00407095,0.674682,1.19339,11.7468,0.0093569
0.162,0.183599,0.0327154,0.00251472,-0.185207,0.0182002,0.00408915,0.672846,1.18749,11.7397,0.0093751
0.163,0.182691,0.0328981,0.00254762,-0.184103,0.0180161,0.00410717,0.671019,1.18158,11.7324,0.00939312
0.164,0.181781,0.0330799,0.0025807,-0.182989,0.0178331,0.004125,0.669201,1.17532,11.7259,0.00941095
0.165,0.180818,0.0332607,0.00261396,-0.181977,0.0176511,0.00414265,0.667393,1.1694,11.7185,0.0094286
0.166,0.179907,0.0334406,0.0026474,-0.180839,0.0174702,0.00416012,0.665594,1.16347,11.711,0.00944607
0.167,0.178996,0.0336196,0.00268102,-0.179693,0.0172906,0.00417742,0.663804,1.15755,11.7035,0.00946336
0.168,0.178084,0.0337977,0.00271481,-0.178537,0.017112,0.00419453,0.662023,1.15162,11.6959,0.00948048
0.169,0.177172,0.0339749,0.00274879,-0.177374,0.0169346,0.00421146,0.660251,1.14569,11.6883,0.00949741
0.17,0.17626,0.0341511,0.00278294,-0.176203,0.0167584,0.00422822,0.658489,1.13977,11.6807,0.00951417
0.171,0.175349,0.0343265,0.00281727,-0.175025,0.0165834,0.0042448,0.656735,1.13384,11.673,0.00953075
0.172,0.174437,0.0345009,0.00285177,-0.173841,0.0164096,0.00426121,0.654991,1.12792,11.6652,0.00954716
0.173,0.173527,0.0346745,0.00288644,-0.17265,0.0162369,0.00427745,0.653255,1.12201,11.6574,0.0095634
0.174,0.172617,0.0348471,0.00292129,-0.171454,0.0160655,0.00429352,0.651529,1.11641,11.649,0.00957946
0.175,0.171755,0.0350188,0.00295631,-0.170151,0.0158953,0.00430941,0.649812,1.1105,11.6412,0.00959536
0.176,0.170847,0.0351897,0.0029915,-0.168949,0.0157264,0.00432514,0.648103,1.10461,11.6333,0.00961109
0.177,0.16994,0.0353596,0.00302686,-0.167742,0.0155586,0.0043407,0.646404,1.09902,11.6248,0.00962664
0.178,0.16908,0.0355287,0.00306239,-0.166433,0.0153922,0.00435609,0.644713,1.09314,11.6169,0.00964204
0.179,0.168175,0.0356969,0.00309808,-0.165222,0.015227,0.00437132,0.643031,1.08756,11.6084,0.00965726
0.18,0.167317,0.0358642,0.00313395,-0.163912,0.0150631,0.00438638,0.641358,1.0817,11.6005,0.00967233
0.181,0.166415,0.0360306,0.00316998,-0.162698,0.0149004,0.00440128,0.639694,1.07614,11.592,0.00968723
0.182,0.165559,0.0361962,0.00320617,-0.161388,0.014739,0.00441602,0.638038,1.0703,11.5841,0.00970197
0.183,0.164661,0.0363608,0.00324254,-0.160172,0.0145788,0.0044306,0.636392,1.06475,11.5756,0.00971655
0.184,0.163808,0.0365246,0.00327906,-0.158863,0.0144199,0.00444502,0.634754,1.05894,11.5677,0.00973097
0.185,0.162913,0.0366875,0.00331575,-0.157646,0.0142623,0.00445928,0.633125,1.05341,11.5592,0.00974523
0.186,0.162063,0.0368496,0.0033526,-0.156339,0.014106,0.00447338,0.631504,1.0479,11.5507,0.00975933
0.187,0.161215,0.0370108,0.00338961,-0.155035,0.0139509,0.00448734,0.629892,1.0424,11.5423,0.00977328
0.188,0.160369,0.0371712,0.00342678,-0.153734,0.0137972,0.00450113,0.628288,1.03664,11.5344,0.00978708
0.189,0.159483,0.0373307,0.00346411,-0.152523,0.0136447,0.00451478,0.626693,1.03116,11.526,0.00980073
0.19,0.158641,0.0374893,0.0035016,-0.151226,0.0134934,0.00452827,0.625107,1.0257,11.5176,0.00981422
